train_no,date,station_code,station_name,delay
12314,2025-10-24,CNB,KANPUR CENTRAL,26.0
12314,2025-10-24,DDU,PT DEEN DAYAL UPADHYAY JN,19.0
12314,2025-10-24,GAYA,GAYA JN,23.0
12314,2025-10-24,DHN,DHANBAD JN,9.0
12314,2025-10-24,ASN,ASANSOL JN,18.0
12314,2025-10-24,DGR,DURGAPUR,20.0
12314,2025-10-24,SDAH,SEALDAH,3.0
12314,2025-10-25,NDLS,NEW DELHI,0.0
12314,2025-10-25,CNB,KANPUR CENTRAL,20.0
12314,2025-10-25,DDU,PT DEEN DAYAL UPADHYAY JN,24.0
12314,2025-10-25,GAYA,GAYA JN,28.0
12314,2025-10-25,DHN,DHANBAD JN,18.0
12314,2025-10-25,ASN,ASANSOL JN,33.0
12314,2025-10-25,DGR,DURGAPUR,36.0
12314,2025-10-25,SDAH,SEALDAH,4.0
12314,2025-10-26,NDLS,NEW DELHI,0.0
12314,2025-10-26,CNB,KANPUR CENTRAL,8.0
12314,2025-10-26,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-26,GAYA,GAYA JN,5.0
12314,2025-10-26,DHN,DHANBAD JN,0.0
12314,2025-10-26,ASN,ASANSOL JN,12.0
12314,2025-10-26,DGR,DURGAPUR,15.0
12314,2025-10-26,SDAH,SEALDAH,-11.0
12314,2025-10-27,NDLS,NEW DELHI,0.0
12314,2025-10-27,CNB,KANPUR CENTRAL,27.0
12314,2025-10-27,DDU,PT DEEN DAYAL UPADHYAY JN,26.0
12314,2025-10-27,GAYA,GAYA JN,43.0
12314,2025-10-27,DHN,DHANBAD JN,22.0
12314,2025-10-27,ASN,ASANSOL JN,33.0
12314,2025-10-27,DGR,DURGAPUR,37.0
12314,2025-10-27,SDAH,SEALDAH,11.0
12314,2025-10-28,NDLS,NEW DELHI,0.0
12314,2025-10-28,CNB,KANPUR CENTRAL,7.0
12314,2025-10-28,DDU,PT DEEN DAYAL UPADHYAY JN,11.0
12314,2025-10-28,GAYA,GAYA JN,12.0
12314,2025-10-28,DHN,DHANBAD JN,2.0
12314,2025-10-28,ASN,ASANSOL JN,19.0
12314,2025-10-28,DGR,DURGAPUR,24.0
12314,2025-10-28,SDAH,SEALDAH,5.0
12314,2025-10-29,NDLS,NEW DELHI,0.0
12314,2025-10-29,CNB,KANPUR CENTRAL,27.0
12314,2025-10-29,DDU,PT DEEN DAYAL UPADHYAY JN,10.0
12314,2025-10-29,GAYA,GAYA JN,18.0
12314,2025-10-29,DHN,DHANBAD JN,10.0
12314,2025-10-29,ASN,ASANSOL JN,25.0
12314,2025-10-29,DGR,DURGAPUR,35.0
12314,2025-10-29,SDAH,SEALDAH,6.0
12314,2025-10-30,NDLS,NEW DELHI,0.0
12314,2025-10-30,CNB,KANPUR CENTRAL,25.0
12314,2025-10-30,DDU,PT DEEN DAYAL UPADHYAY JN,34.0
12314,2025-10-30,GAYA,GAYA JN,49.0
12314,2025-10-30,DHN,DHANBAD JN,36.0
12314,2025-10-30,ASN,ASANSOL JN,53.0
12314,2025-10-30,DGR,DURGAPUR,55.0
12314,2025-10-30,SDAH,SEALDAH,28.0
12314,2025-10-31,NDLS,NEW DELHI,0.0
12314,2025-10-31,CNB,KANPUR CENTRAL,17.0
12314,2025-10-31,DDU,PT DEEN DAYAL UPADHYAY JN,11.0
12314,2025-10-31,GAYA,GAYA JN,12.0
12314,2025-10-31,DHN,DHANBAD JN,7.0
12314,2025-10-31,ASN,ASANSOL JN,22.0
12314,2025-10-31,DGR,DURGAPUR,24.0
12314,2025-10-31,SDAH,SEALDAH,10.0
12314,2025-11-01,NDLS,NEW DELHI,0.0
12314,2025-11-01,CNB,KANPUR CENTRAL,18.0
12314,2025-11-01,DDU,PT DEEN DAYAL UPADHYAY JN,46.0
12314,2025-11-01,GAYA,GAYA JN,55.0
12314,2025-11-01,DHN,DHANBAD JN,76.0
12314,2025-11-01,ASN,ASANSOL JN,95.0
12314,2025-11-01,DGR,DURGAPUR,96.0
12314,2025-11-01,SDAH,SEALDAH,73.0
12314,2025-11-02,NDLS,NEW DELHI,0.0
12314,2025-11-02,CNB,KANPUR CENTRAL,28.0
12314,2025-11-02,DDU,PT DEEN DAYAL UPADHYAY JN,4.0
12314,2025-11-02,GAYA,GAYA JN,4.0
12314,2025-11-02,DHN,DHANBAD JN,8.0
12314,2025-11-02,ASN,ASANSOL JN,23.0
12314,2025-11-02,DGR,DURGAPUR,33.0
12314,2025-11-02,SDAH,SEALDAH,12.0
12314,2025-11-03,NDLS,NEW DELHI,1.0
12314,2025-11-03,CNB,KANPUR CENTRAL,32.0
12314,2025-11-03,DDU,PT DEEN DAYAL UPADHYAY JN,15.0
12314,2025-11-03,GAYA,GAYA JN,21.0
12314,2025-11-03,DHN,DHANBAD JN,5.0
12314,2025-11-03,ASN,ASANSOL JN,16.0
12314,2025-11-03,DGR,DURGAPUR,17.0
12314,2025-11-03,SDAH,SEALDAH,0.0
12314,2025-11-04,NDLS,NEW DELHI,0.0
12314,2025-11-04,CNB,KANPUR CENTRAL,12.0
12314,2025-11-04,DDU,PT DEEN DAYAL UPADHYAY JN,13.0
12314,2025-11-04,GAYA,GAYA JN,18.0
12314,2025-11-04,DHN,DHANBAD JN,10.0
12314,2025-11-04,ASN,ASANSOL JN,22.0
